         13509479 function calls (13505344 primitive calls) in 67.098 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      154    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        6    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
       72    0.000    0.000    0.000    0.000 __init__.py:721(__iter__)
      107    0.000    0.000    0.001    0.000 {method '__reduce_ex__' of 'object' objects}
       99    0.000    0.000    0.001    0.000 ipaddress.py:1882(__init__)
      136    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
      317    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
     44/6    0.000    0.000    0.649    0.108 {built-in method builtins.__import__}
      119    0.000    0.000    0.001    0.000 __init__.py:421(<genexpr>)
       58    0.000    0.000    0.000    0.000 {method 'find_loader' of 'zipimport.zipimporter' objects}
      181    0.000    0.000    0.000    0.000 enum.py:24(_is_sunder)
      142    0.000    0.000    0.001    0.000 {built-in method builtins.all}
       18    0.000    0.000    0.001    0.000 functools.py:43(update_wrapper)
       74    0.000    0.000    0.001    0.000 genericpath.py:27(isfile)
      283    0.000    0.000    0.000    0.000 version.py:332(_parse_local_version)
       51    0.000    0.000    0.004    0.000 pyparsing.py:1238(__add__)
      310    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:34(_relax_case)
      147    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:314(__enter__)
        1    0.000    0.000    0.015    0.015 inspect.py:27(<module>)
        1    0.000    0.000    0.002    0.002 opcode.py:5(<module>)
      182    0.000    0.000    0.001    0.000 pyparsing.py:2275(<genexpr>)
      204    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
      159    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:716(find_spec)
     15/3    0.000    0.000    0.001    0.000 abc.py:194(__subclasscheck__)
       12    0.000    0.000    0.000    0.000 enum.py:121(<setcomp>)
      110    0.000    0.000    0.000    0.000 sre_parse.py:70(__init__)
       73    0.000    0.000    0.001    0.000 signal.py:10(<lambda>)
    82/80    0.000    0.000    0.001    0.000 pyparsing.py:286(__init__)
     17/3    0.000    0.000    0.001    0.000 pyparsing.py:2324(streamline)
